activity_ref_key,item_id,item_idx,description,quantity,price,classification,classificationDomain,supplierPartID,manufacturerPartID,manufacturerName,sku,item_expense_category_id,allowable_status,classification_confidence,unspsc_name
0007a487-748d-45a5-8b3f-402d840a8635,7c63b9f0-a9d6-4c50-baf5-aad8d30320d6,13566,"Soft and comfortable robe, perfect for lounging at home.",12,59.99,Public,Insurance,7c63b9f0-a9d6-4c50-baf5-aad8d30320d6,7c63b9f0-a9d6-4c50-baf5-aad8d30320d6,Summit Automotive,7c63b9f0-a9d6-4c50-baf5-aad8d30320d6,12,17,94,Clothing and Apparel
000837c1-9ea9-4800-a387-0ae0ace5e9e8,62060e81-7027-4872-8bef-823f4f439a80,10426,Lantern that repels mosquitoes while providing light.,9,34.99,Highly Confidential,Transportation,62060e81-7027-4872-8bef-823f4f439a80,62060e81-7027-4872-8bef-823f4f439a80,Ironclad Tools,62060e81-7027-4872-8bef-823f4f439a80,9,4,73,Food and Beverage Products
000a00af-4088-42af-a58c-c605657ba4ee,af65fb17-4a06-4bd7-beb0-16b7fec61768,439,Handheld sprayer designed for washing pets easily.,8,29.99,Unclassified,Automotive,af65fb17-4a06-4bd7-beb0-16b7fec61768,af65fb17-4a06-4bd7-beb0-16b7fec61768,BlueWave Medical,af65fb17-4a06-4bd7-beb0-16b7fec61768,8,41,67,Packaging Materials
000ef638-176d-4db5-ba6d-90b1f0c98b41,cd46c6c5-ae9f-47a9-8a87-c6381a89cdf1,18614,Portable water bottle for pets when traveling.,13,18.99,For Official Use Only,Telecommunications,cd46c6c5-ae9f-47a9-8a87-c6381a89cdf1,cd46c6c5-ae9f-47a9-8a87-c6381a89cdf1,Pioneer Manufacturing,cd46c6c5-ae9f-47a9-8a87-c6381a89cdf1,13,58,100,Furniture and Furnishings
0014c41c-63a4-4625-a116-8536d1e5fd01,f76a9d3b-1e47-4f42-8930-1b589deb4f7d,11799,"Tangy dressing perfect for salads and marinades, with sesame and ginger flavors.",15,4.09,Highly Confidential,Retail,f76a9d3b-1e47-4f42-8930-1b589deb4f7d,f76a9d3b-1e47-4f42-8930-1b589deb4f7d,Quantum Machinery,f76a9d3b-1e47-4f42-8930-1b589deb4f7d,15,4,100,Laboratory Instruments
001fef4c-4300-4153-819e-a2ef0474d03f,05d8d753-b084-4669-a6be-a3084d84dc5b,9361,Elegant cover that protects your notebook with style.,13,29.99,Restricted,Entertainment,05d8d753-b084-4669-a6be-a3084d84dc5b,05d8d753-b084-4669-a6be-a3084d84dc5b,Pioneer Manufacturing,05d8d753-b084-4669-a6be-a3084d84dc5b,13,53,100,Printing and Photographic Equipment
002794f7-88cc-4611-beb9-0b2998f2e380,fc6f0c75-41eb-4557-bdb2-169e574def32,5567,"Creamy and delicious soup made with real butternut squash, ready to heat.",12,3.49,Public,Hospitality,fc6f0c75-41eb-4557-bdb2-169e574def32,fc6f0c75-41eb-4557-bdb2-169e574def32,Ironclad Tools,fc6f0c75-41eb-4557-bdb2-169e574def32,12,27,99,Telecommunications Equipment
002a0d13-184a-4702-833a-821fc43af5b2,ff5243b7-5d36-4712-b64e-cd16ae0bf262,3369,Handheld vacuum cleaner for quick and easy cleaning.,13,45.99,Internal Use Only,Entertainment,ff5243b7-5d36-4712-b64e-cd16ae0bf262,ff5243b7-5d36-4712-b64e-cd16ae0bf262,BlueWave Medical,ff5243b7-5d36-4712-b64e-cd16ae0bf262,13,12,100,Printing and Photographic Equipment
002a2bb1-1f62-4809-b186-29250686e756,34f7b760-181f-49df-b176-c80033234117,2327,Pure maple syrup for pancakes and more.,13,6.99,Public,Healthcare,34f7b760-181f-49df-b176-c80033234117,34f7b760-181f-49df-b176-c80033234117,Pioneer Manufacturing,34f7b760-181f-49df-b176-c80033234117,13,84,100,Computer Hardware
0035b8f3-0b5d-43e7-94eb-eaa15cdf3d55,cb4ba3f2-133e-4038-9aca-f4b1f0ac652d,13178,"Creamy chickpea dip, perfect for veggies or pita.",10,4.29,Highly Confidential,Entertainment,cb4ba3f2-133e-4038-9aca-f4b1f0ac652d,cb4ba3f2-133e-4038-9aca-f4b1f0ac652d,EcoBuild Systems,cb4ba3f2-133e-4038-9aca-f4b1f0ac652d,10,53,77,Printing and Photographic Equipment
003b3276-93af-4bb2-85ab-6e0205ec6929,1582c692-39c4-41b8-bf39-64fc011dd5ac,2803,Boost your Wi-Fi signal for better coverage.,4,49.99,Unclassified,Real Estate,1582c692-39c4-41b8-bf39-64fc011dd5ac,1582c692-39c4-41b8-bf39-64fc011dd5ac,Evergreen Plastics,1582c692-39c4-41b8-bf39-64fc011dd5ac,4,63,30,Personal Care Products
003c3c66-cd2d-4c85-846d-63774db1395b,4561c7fc-8355-4167-830b-3717d8c536fe,12685,Protects car interior from sun damage and heat.,7,19.99,Unclassified,Food Services,4561c7fc-8355-4167-830b-3717d8c536fe,4561c7fc-8355-4167-830b-3717d8c536fe,Atlas Engineering,4561c7fc-8355-4167-830b-3717d8c536fe,7,69,60,Software and Licenses
003e822d-9106-4934-ac5a-a646ca06c087,8e9027e7-f027-475d-b3cb-16c6b285f815,11942,"Raw brown sugar, perfect for baking or sweetening drinks.",5,1.79,Unclassified,Technology,8e9027e7-f027-475d-b3cb-16c6b285f815,8e9027e7-f027-475d-b3cb-16c6b285f815,Starlight Components,8e9027e7-f027-475d-b3cb-16c6b285f815,5,37,42,Cleaning Products
003f5082-4dd5-4436-9e31-4a7d789e15be,c5099b60-469a-4e09-9b11-313bc2b666b1,11800,"A smoky barbecue sauce, ideal for grilling and dipping.",12,3.49,Top Secret,Telecommunications,c5099b60-469a-4e09-9b11-313bc2b666b1,c5099b60-469a-4e09-9b11-313bc2b666b1,Vertex Electronics,c5099b60-469a-4e09-9b11-313bc2b666b1,12,6,93,Furniture and Furnishings
003fc1a8-3fd3-4461-b4a2-f92543de702c,8a6f78e9-c3e1-4281-ab06-2ab1598a1e48,13269,"Heavy-duty rope suitable for boating, camping, and general use.",11,19.99,Internal Use Only,Automotive,8a6f78e9-c3e1-4281-ab06-2ab1598a1e48,8a6f78e9-c3e1-4281-ab06-2ab1598a1e48,Ironclad Tools,8a6f78e9-c3e1-4281-ab06-2ab1598a1e48,11,34,90,Packaging Materials
003ffd0a-c801-4982-acd4-672cb5dd334e,7f305144-bd6e-4f72-a79f-e9bd69da63fb,529,Comfortable trainers with mesh inserts for breathability.,4,69.99,Proprietary,Legal,7f305144-bd6e-4f72-a79f-e9bd69da63fb,7f305144-bd6e-4f72-a79f-e9bd69da63fb,Pioneer Manufacturing,7f305144-bd6e-4f72-a79f-e9bd69da63fb,4,19,33,Safety and Security Equipment
