activity_ref_key,item_id,item_idx,description,quantity,price,classification,classificationDomain,supplierPartID,manufacturerPartID,manufacturerName,sku,item_expense_category_id,allowable_status,classification_confidence,unspsc_name
2b76434b-4b1a-4060-a0c5-242aaf288a14,1,1,Compact electric pot for hot pot dining at home.,9,49.99,Top Secret,Education,f96c8139-dd2e-453c-9763-c510ba0e6862,f96c8139-dd2e-453c-9763-c510ba0e6862,Evergreen Plastics,f96c8139-dd2e-453c-9763-c510ba0e6862,9,77,70,Medical Equipment
7dae11f1-4e0d-4176-bf73-99dd9b2e0cc8,10,10,Herbal tea blend with ginger and turmeric for a soothing drink.,13,3.49,Highly Confidential,Finance,63cb0d53-8b8c-4fc8-b9ff-a7d5395baade,63cb0d53-8b8c-4fc8-b9ff-a7d5395baade,Pioneer Manufacturing,63cb0d53-8b8c-4fc8-b9ff-a7d5395baade,13,27,100,Office Supplies
97e3062c-6331-494c-9a55-7401b8bee368,100,100,"Marinated chicken skewers with lemon and dill flavor, grilled to perfection.",6,9.99,Unclassified,Government,a0a99478-decf-4a3a-be64-5751c615c3df,a0a99478-decf-4a3a-be64-5751c615c3df,Starlight Components,a0a99478-decf-4a3a-be64-5751c615c3df,6,12,45,Automotive Parts
c8d7518d-e6a8-4b81-88c7-a504dc532bf7,1000,1000,"A smoky barbecue sauce, ideal for grilling and dipping.",10,3.49,Public,Retail,b5b60ae8-a347-4c7f-8199-09c19a0cebde,b5b60ae8-a347-4c7f-8199-09c19a0cebde,Summit Automotive,b5b60ae8-a347-4c7f-8199-09c19a0cebde,10,62,78,Laboratory Instruments
6c221a08-8a40-4507-bc43-6dc2483c185c,10000,10000,Protects surfaces while baking or cooking with hot items.,19,19.99,Unclassified,Agriculture,256e06ac-f2ef-4e94-968f-be4b2dad0df6,256e06ac-f2ef-4e94-968f-be4b2dad0df6,Atlas Engineering,256e06ac-f2ef-4e94-968f-be4b2dad0df6,19,28,100,Industrial Machinery
d686c19c-677a-4d61-a5ba-a80ee473d5b8,10001,10001,Soft cotton graphic tee available in various designs.,6,19.99,Unclassified,Education,27f97648-eb6b-4987-b473-78567fa59b6a,27f97648-eb6b-4987-b473-78567fa59b6a,Acme Industries,27f97648-eb6b-4987-b473-78567fa59b6a,6,75,48,Medical Equipment
af8e1330-071f-4e21-bf5c-d658aadf2ee9,10002,10002,Plant-based sausage links with spices and herbs.,15,5.89,Public,Entertainment,42be04f9-d642-4ec3-ae60-ca64f727ab2e,42be04f9-d642-4ec3-ae60-ca64f727ab2e,NovaChem Labs,42be04f9-d642-4ec3-ae60-ca64f727ab2e,15,119,100,Printing and Photographic Equipment
f3620962-fde7-4742-9822-48ff05749483,10003,10003,Shower head designed for a strong spray and complete coverage.,10,39.99,Restricted,Telecommunications,43709c32-7274-4c0c-a29f-f250ce03a379,43709c32-7274-4c0c-a29f-f250ce03a379,Quantum Machinery,43709c32-7274-4c0c-a29f-f250ce03a379,10,103,84,Furniture and Furnishings
ec61e495-2d81-4180-bc4f-75b510d8c0bd,10004,10004,Warm oatmeal flavored with apple and cinnamon.,9,2.89,Highly Confidential,Pharmaceuticals,b9541d27-1b08-40db-a3ee-836c4ae4aca5,b9541d27-1b08-40db-a3ee-836c4ae4aca5,Vertex Electronics,b9541d27-1b08-40db-a3ee-836c4ae4aca5,9,57,72,Sports and Recreational Equipment
ca8df0c8-8136-4c70-81b2-9a9d0a840249,10005,10005,Complete meal kit with everything needed to make beef stroganoff in under 30 minutes.,12,12.99,Confidential,Energy,2509c1a2-c398-423d-a051-62fb170cf177,2509c1a2-c398-423d-a051-62fb170cf177,Ironclad Tools,2509c1a2-c398-423d-a051-62fb170cf177,12,6,98,Electrical Components
ec248659-fc32-4c51-92b6-d29e9438164f,10006,10006,Complete fondue set for chocolate and cheese parties.,3,34.99,Proprietary,Hospitality,c69a92cb-d928-4e99-9b19-cc39e3b02600,c69a92cb-d928-4e99-9b19-cc39e3b02600,Evergreen Plastics,c69a92cb-d928-4e99-9b19-cc39e3b02600,3,82,28,Telecommunications Equipment
4e970d8f-1d54-4cff-981e-e1c31a579ed7,10007,10007,Ergonomic mouse designed for gamers with high DPI.,13,39.99,Internal Use Only,Real Estate,8b441684-7ebe-4863-a20f-8a52e648874f,8b441684-7ebe-4863-a20f-8a52e648874f,NovaChem Labs,8b441684-7ebe-4863-a20f-8a52e648874f,13,0,100,Personal Care Products
a017f855-9223-4c86-bb98-6de0460257b9,10008,10008,"Decadent brownies made without gluten, rich and chocolatey.",2,4.99,Top Secret,Agriculture,d935573c-5313-4463-8c79-fb33af0951fa,d935573c-5313-4463-8c79-fb33af0951fa,Atlas Engineering,d935573c-5313-4463-8c79-fb33af0951fa,2,25,20,Industrial Machinery
aea2be4c-6b80-4d99-9e56-7eb9b061f14b,10009,10009,Stylish bookends to keep books organized on shelves.,5,22.99,For Official Use Only,Insurance,6a843718-d2f2-49e1-8ac3-242a0a5367b2,6a843718-d2f2-49e1-8ac3-242a0a5367b2,Vertex Electronics,6a843718-d2f2-49e1-8ac3-242a0a5367b2,5,64,36,Clothing and Apparel
c8d2b227-74af-4ac2-ae28-0755f5530853,1001,1001,Memory foam travel pillow for neck support.,7,22.99,Confidential,Real Estate,590768d8-ce06-4a7d-b66c-f67c4adbf6f5,590768d8-ce06-4a7d-b66c-f67c4adbf6f5,Vertex Electronics,590768d8-ce06-4a7d-b66c-f67c4adbf6f5,7,12,58,Personal Care Products
49d73f5e-0c69-4c97-80ec-e61d3bb10950,10010,10010,Durable gloves with built-in claws for digging and planting.,5,24.99,Sensitive,Food Services,1ff4c4ba-68cb-45c7-bfc6-5a67ef15aeb7,1ff4c4ba-68cb-45c7-bfc6-5a67ef15aeb7,Sunrise Textiles,1ff4c4ba-68cb-45c7-bfc6-5a67ef15aeb7,5,81,36,Software and Licenses
e90ee027-6998-432e-a66a-ad9a8464d322,10011,10011,Frozen smoothie blend with berries for a quick and healthy breakfast.,14,3.99,For Official Use Only,Finance,e9cdb81a-498e-4581-876e-e5b53a8444b6,e9cdb81a-498e-4581-876e-e5b53a8444b6,Quantum Machinery,e9cdb81a-498e-4581-876e-e5b53a8444b6,14,100,100,Office Supplies
5c919b9d-358f-4ffe-86f5-1fee66a30b6c,10012,10012,"Versatile canned black beans, ready to add to any dish.",6,1.29,Restricted,Government,d4885d5f-3912-43a6-a868-fc527e6cb8f4,d4885d5f-3912-43a6-a868-fc527e6cb8f4,Pioneer Manufacturing,d4885d5f-3912-43a6-a868-fc527e6cb8f4,6,38,46,Automotive Parts
6758d8fa-b8ce-402b-b133-a14c127d3896,10013,10013,"A blend of assorted nuts, perfect for snacking or adding to recipes.",12,5.99,Highly Confidential,Construction,4a646a20-7fb0-4cf4-98d8-673435bd8ed1,4a646a20-7fb0-4cf4-98d8-673435bd8ed1,Precision Optics,4a646a20-7fb0-4cf4-98d8-673435bd8ed1,12,62,97,Agricultural Supplies
10a67dba-7c36-4080-aa75-99a192abc174,10014,10014,Grilled chicken skewers glazed with teriyaki sauce.,10,8.99,Top Secret,Technology,1a8f9fe9-b6c8-4974-9be2-3309f514b6d6,1a8f9fe9-b6c8-4974-9be2-3309f514b6d6,GlobalTech Solutions,1a8f9fe9-b6c8-4974-9be2-3309f514b6d6,10,101,80,Cleaning Products
ac09d067-78be-468a-928b-9bd3c02dada1,10015,10015,A refreshing salad made with quinoa and seasonal veggies.,12,5.99,Unclassified,Healthcare,ee3c91e5-6706-4613-b3f3-7e79f08cb6f3,ee3c91e5-6706-4613-b3f3-7e79f08cb6f3,EcoBuild Systems,ee3c91e5-6706-4613-b3f3-7e79f08cb6f3,12,108,93,Computer Hardware
8bbf64ca-d2eb-44ff-91b2-905ddca3f1f6,10016,10016,Durable jump rope with built-in counter for workouts.,7,12.99,Confidential,Automotive,96910b8e-5e6b-4a51-a79d-dc38166ff89b,96910b8e-5e6b-4a51-a79d-dc38166ff89b,Starlight Components,96910b8e-5e6b-4a51-a79d-dc38166ff89b,7,60,54,Packaging Materials
d171fdb1-6b12-48ee-a873-d823523dc4b6,10017,10017,Bell peppers stuffed with rice and vegetables,11,5.99,Public,Manufacturing,30345133-68ca-432b-88ea-3129b7948fc6,30345133-68ca-432b-88ea-3129b7948fc6,Acme Industries,30345133-68ca-432b-88ea-3129b7948fc6,11,89,85,Construction Materials
42a2cd39-8cb5-49cd-bb03-cbc03940ad94,10018,10018,Healthy pasta alternative made from chickpeas,11,4.19,Sensitive,Legal,ba299969-48fe-4b7e-8166-cc4343ed38a7,ba299969-48fe-4b7e-8166-cc4343ed38a7,BlueWave Medical,ba299969-48fe-4b7e-8166-cc4343ed38a7,11,42,90,Safety and Security Equipment
e58cd3db-e90f-4950-95e4-437f7b56eb56,10019,10019,Eco-friendly power bank that charges via sunlight.,10,39.99,Proprietary,Transportation,26797405-4fbf-4826-abb1-467e15a6a386,26797405-4fbf-4826-abb1-467e15a6a386,Ironclad Tools,26797405-4fbf-4826-abb1-467e15a6a386,10,22,83,Food and Beverage Products
3012bc7e-c8f6-4425-9d0d-9401f1c025f6,1002,1002,Herbal tea bags made from dried hibiscus flowers.,8,3.79,Unclassified,Agriculture,26cfd416-7af3-4295-8b23-dea1cd4f2645,26cfd416-7af3-4295-8b23-dea1cd4f2645,Precision Optics,26cfd416-7af3-4295-8b23-dea1cd4f2645,8,22,66,Industrial Machinery
dec1352e-1ed4-44e8-9e47-f53ef28a6ce0,10020,10020,"Customizable RGB LED light strip, perfect for mood lighting.",5,29.99,Internal Use Only,Retail,9413091b-bd95-469b-a9d8-f8a7e4527c56,9413091b-bd95-469b-a9d8-f8a7e4527c56,Summit Automotive,9413091b-bd95-469b-a9d8-f8a7e4527c56,5,40,41,Laboratory Instruments
6107086a-3eae-4d3a-ad66-098b92bf1f65,10021,10021,A protein-packed pancake mix for a nutritious breakfast.,12,3.99,Internal Use Only,Pharmaceuticals,ee3753b6-6e3e-40dd-a0b9-a31109bee7e2,ee3753b6-6e3e-40dd-a0b9-a31109bee7e2,Sunrise Textiles,ee3753b6-6e3e-40dd-a0b9-a31109bee7e2,12,91,94,Sports and Recreational Equipment
c9743e5a-9533-4bc3-9708-3b2b4d5e7ccf,10022,10022,A mix of frozen roasted vegetables for an easy side dish.,13,3.99,Highly Confidential,Retail,1408efbc-8291-4886-88ae-5b57d7df4cae,1408efbc-8291-4886-88ae-5b57d7df4cae,EcoBuild Systems,1408efbc-8291-4886-88ae-5b57d7df4cae,13,113,100,Laboratory Instruments
76173a36-3f69-4a45-83a1-03b098fb7f33,10023,10023,Compact air conditioner for personal cooling.,16,299.99,Proprietary,Automotive,33092cff-c734-4898-b503-d5c499c3b9a2,33092cff-c734-4898-b503-d5c499c3b9a2,Precision Optics,33092cff-c734-4898-b503-d5c499c3b9a2,16,26,100,Packaging Materials
7a5f88ca-fa75-4d5c-a9c1-2dd76dbcce81,10024,10024,Marinated beef strips in teriyaki sauce for easy grilling.,12,7.49,For Official Use Only,Energy,e67fee32-0b6b-4c30-921d-5bf291b68355,e67fee32-0b6b-4c30-921d-5bf291b68355,Ironclad Tools,e67fee32-0b6b-4c30-921d-5bf291b68355,12,2,98,Electrical Components
2b824d47-c5c4-4056-bbd3-3f1d19cdec41,10025,10025,"Crunchy roasted pumpkin seeds, great for snacking.",11,2.79,Restricted,Education,2c1c9b59-ff73-486a-9a7c-b86338856e08,2c1c9b59-ff73-486a-9a7c-b86338856e08,Acme Industries,2c1c9b59-ff73-486a-9a7c-b86338856e08,11,9,92,Medical Equipment
7b1040b1-21c4-4908-9b98-7e056c1f0d56,10026,10026,Rich and creamy Caesar dressing for salads and wraps.,7,3.49,Top Secret,Agriculture,9e5f1c47-2623-45f9-a806-0e8e7e923822,9e5f1c47-2623-45f9-a806-0e8e7e923822,GlobalTech Solutions,9e5f1c47-2623-45f9-a806-0e8e7e923822,7,117,53,Industrial Machinery
8d07435e-120b-43a7-acaf-2da6e92b1d01,10027,10027,"Sweet peach halves packed in juice, great for desserts.",9,2.49,Confidential,Food Services,8a44927f-80f6-426f-9216-bd783c8ec3fd,8a44927f-80f6-426f-9216-bd783c8ec3fd,Summit Automotive,8a44927f-80f6-426f-9216-bd783c8ec3fd,9,68,72,Software and Licenses
