activity_status_id,activity_status_key,description
3,REFUND,"Tangy goat cheese infused with herbs, perfect for snacking."
11,REVERSAL,Snooze function and LED display for easy reading.
10,NA,Portable case to organize and protect jewelry on trips.
6,DELETED,No-bake energy bites made with peanut butter and oats.
12,NEEDSAPPROVAL,Natural energy bites packed with fruits and nuts for a perfect snack.
5,COMPLETED,Gluten-free bread mix made with almond flour.
4,REJECTED,Durable backpack for hiking or travel.
9,RETURN_COMPLETE,"Crunchy, toasted coconut chips for snacking."
1,NEEDSAPPROVAL,Creamy yogurt made with maple and almond flavors.
8,COMPLETE,Accurate stopwatch for timing events and workouts.
7,REVERSAL,A trendy cropped sweater perfect for a casual look.
2,SAVED,A colorful printed maxi skirt for a bohemian look.
